PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PPG,APG,PER,FULL_NAME
1642368,2024-25,00,1610612745,HOU,23.0,4,0,51.0,10,13,0.769,0,0,0.0,4,5,0.8,6,15,21,2,1,5,2,9,24,6.0,0.5,27.9,N'Faly Dante
203076,2024-25,00,1610612742,DAL,32.0,51,51,1705.0,470,910,0.516,35,124,0.282,286,369,0.775,134,456,590,181,59,110,113,98,1261,24.7,3.5,32.0,Anthony Davis
1631098,2024-25,00,1610612764,WAS,22.0,34,0,242.0,32,78,0.41,7,29,0.241,9,15,0.6,10,28,38,11,15,6,7,18,80,2.4,0.3,13.0,Johnny Davis
1631120,2024-25,00,1610612738,BOS,22.0,16,0,93.0,12,34,0.353,4,18,0.222,5,7,0.714,2,11,13,13,5,1,13,2,33,2.1,0.8,9.0,JD Davison
201942,2024-25,00,1610612758,SAC,35.0,77,77,2768.0,624,1308,0.477,84,256,0.328,378,441,0.857,50,248,298,342,62,32,105,150,1710,22.2,4.4,22.2,DeMar DeRozan
1642484,2024-25,00,1610612754,IND,24.0,11,0,70.0,11,33,0.333,6,21,0.286,2,2,1.0,2,10,12,14,7,2,5,7,30,2.7,1.3,18.1,RayJ Dennis
1628978,2024-25,00,1610612750,MIN,28.0,62,10,1606.0,250,593,0.422,174,438,0.397,49,63,0.778,32,196,228,225,73,17,99,114,723,11.7,3.6,17.6,Donte DiVincenzo
1631217,2024-25,00,1610612766,CHA,23.0,71,8,1241.0,167,280,0.596,0,6,0.0,69,116,0.595,187,251,438,56,46,40,61,109,403,5.7,0.8,19.4,Moussa Diabaté
1641711,2024-25,00,1610612761,TOR,21.0,54,54,1587.0,265,647,0.41,114,326,0.35,133,155,0.858,44,149,193,98,48,10,83,120,777,14.4,1.8,14.6,Gradey Dick
1631172,2024-25,00,1610612760,OKC,22.0,37,1,405.0,54,125,0.432,23,71,0.324,11,16,0.688,18,63,81,31,17,7,18,33,142,3.8,0.8,14.4,Ousmane Dieng
1642265,2024-25,00,1610612750,MIN,20.0,49,1,516.0,93,211,0.441,25,74,0.338,8,15,0.533,12,38,50,98,20,1,53,37,219,4.5,2.0,13.5,Rob Dillingham
203915,2024-25,00,1610612742,DAL,32.0,79,30,2136.0,284,682,0.416,109,326,0.334,195,243,0.802,18,191,209,349,70,17,102,121,872,11.0,4.4,16.4,Spencer Dinwiddie
1629029,2024-25,00,1610612747,LAL,26.0,50,50,1769.0,461,1025,0.45,177,481,0.368,309,395,0.782,40,369,409,383,89,21,179,126,1408,28.2,7.7,30.2,Luka Dončić
1629652,2024-25,00,1610612760,OKC,26.0,71,71,2073.0,258,593,0.435,170,413,0.412,33,46,0.717,89,204,293,115,79,39,51,208,719,10.1,1.6,14.0,Luguentz Dort
1630245,2024-25,00,1610612741,CHI,25.0,46,26,1394.0,221,449,0.492,62,189,0.328,62,79,0.785,26,135,161,208,43,18,69,105,566,12.3,4.5,16.9,Ayo Dosunmu
1630288,2024-25,00,1610612755,PHI,27.0,41,3,621.0,112,230,0.487,28,70,0.4,33,45,0.733,12,48,60,78,24,12,15,29,285,7.0,1.9,19.5,Jeff Dowtin Jr.
1628408,2024-25,00,1610612750,MIN,28.0,9,0,35.0,2,3,0.667,2,3,0.667,1,6,0.167,1,4,5,5,1,0,1,3,7,0.8,0.6,11.5,PJ Dozier
203083,2024-25,00,1610612755,PHI,31.0,40,23,751.0,117,234,0.5,3,20,0.15,56,90,0.622,109,201,310,34,39,18,55,94,293,7.3,0.8,18.9,Andre Drummond
1630537,2024-25,00,1610612741,CHI,27.0,17,0,74.0,12,26,0.462,6,15,0.4,6,8,0.75,5,15,20,9,0,0,1,7,36,2.1,0.5,21.5,Chris Duarte
1642505,2024-25,00,1610612760,OKC,24.0,21,0,125.0,12,30,0.4,10,21,0.476,2,2,1.0,9,17,26,5,5,0,4,12,36,1.7,0.2,12.5,Alex Ducas
1630561,2024-25,00,1610612759,SAS,25.0,6,0,34.0,6,14,0.429,3,6,0.5,1,2,0.5,1,4,5,4,1,0,2,1,16,2.7,0.7,16.2,David Duke Jr.
1627739,2024-25,00,1610612746,LAC,31.0,74,58,1783.0,192,437,0.439,75,224,0.335,15,22,0.682,53,198,251,210,128,27,74,197,474,6.4,2.8,13.6,Kris Dunn
1642346,2024-25,00,1610612756,PHX,22.0,74,44,1410.0,205,477,0.43,82,264,0.311,19,39,0.487,92,175,267,57,44,40,40,162,511,6.9,0.8,13.4,Ryan Dunn
201142,2024-25,00,1610612756,PHX,36.0,62,62,2265.0,592,1124,0.527,160,372,0.43,303,361,0.839,23,351,374,263,50,77,190,104,1647,26.6,4.2,26.6,Kevin Durant
1631105,2024-25,00,1610612765,DET,21.0,78,78,2034.0,378,546,0.692,0,0,0.0,162,242,0.669,277,530,807,209,54,89,136,251,918,11.8,2.7,25.8,Jalen Duren
